No,row,col,value
1,1,1,1
2,1,2,The Honest Company
3,1,3,"Dietary Supplements, E-Commerce, Lifestyle"
4,1,4,"Santa Monica, California, United States"
5,1,5,"The Honest Company creates effective, safe, eco-friendly, beautiful, convenient, and affordable products for babies and homes."
6,1,6,"1,046"
7,2,1,2
8,2,2,Ancient Nutrition
9,2,3,"Dietary Supplements, Nutrition, Personal Health"
10,2,4,"North Palm Beach, Florida, United States"
11,2,5,"Our mission is to restore our health, strength and vitality by providing history’s healthiest whole food nutrients to the modern world."
12,2,6,"1,904"
13,3,1,3
14,3,2,HVMN
15,3,3,"Dietary Supplements, E-Commerce, Nutrition"
16,3,4,"San Francisco, California, United States"
17,3,5,Nootrobox is an e-commerce startup offering nootropics or cognitive supplements.
18,3,6,"4,077"
19,4,1,4
20,4,2,Bulletproof
21,4,3,"Consumer Goods, Dietary Supplements, Food and Beverage, Hospitality"
22,4,4,"Bellevue, Washington, United States"
23,4,5,"Bulletproof offers products to help people to reach a state of high performance and achieve their full protential, mentally and physically."
24,4,6,"4,176"
25,5,1,5
26,5,2,Vitagene
27,5,3,"Data Mining, Dietary Supplements, Health Care, Machine Learning, Personal Health, Personalization, Wellness"
28,5,4,"San Francisco, California, United States"
29,5,5,The world's First and Only Personalization Platform for Health and Wellness Products and Services Tailored to Your DNA and Lifestyle.
30,5,6,"6,991"
31,6,1,6
32,6,2,PanTheryx
33,6,3,"Dietary Supplements, Medical, Nutrition, Pharmaceutical"
34,6,4,"Boulder, Colorado, United States"
35,6,5,"PanTheryx is focused on the research, development, and commercialization of products that promote intestinal health."
36,6,6,"10,199"
37,7,1,7
38,7,2,True Elements
39,7,3,"Dietary Supplements, Food and Beverage, Health Care, Organic Food, Snack Food"
40,7,4,"Pune, Maharashtra, India"
41,7,5,True elements offers a range of high-quality snacks and supplements that are inspired by natural foods consumed by our ancestors.
42,7,6,"10,419"
43,8,1,8
44,8,2,Simris Alg
45,8,3,"Agriculture, Biotechnology, Consumer Goods, Dietary Supplements, FMCG, Lifestyle, Nutrition, Organic Food, Sustainability"
46,8,4,"Hammenhög, Skane Lan, Sweden"
47,8,5,Simris Alg is a company providing products from farmed algae.
48,8,6,"10,915"
49,9,1,9
50,9,2,ChromaDex
51,9,3,"Biotechnology, Chemical, Consulting, Dietary Supplements"
52,9,4,"Irvine, California, United States"
53,9,5,"ChromaDex is a natural products company that discovers, acquires, develops and commercializes proprietary-based ingredient technologies."
54,9,6,"12,294"
55,10,1,10
56,10,2,The Nue Co.
57,10,3,"Dietary Supplements, Food and Beverage, Organic Food"
58,10,4,"New York, New York, United States"
59,10,5,The Nue Co. deliver supplements made from foods.
60,10,6,"14,184"
61,11,1,11
62,11,2,Cara
63,11,3,"Alternative Medicine, Dietary Supplements, Health Care, Health Diagnostics, Medical"
64,11,4,"Berlin, Berlin, Germany"
65,11,5,Cara by HiDoc Technologies is an pharmaceutical company that empowers patients suffering from chronic digestive diseases.
66,11,6,"14,490"
67,12,1,12
68,12,2,DogSpot
69,12,3,"Dietary Supplements, Internet of Things, Online Forums"
70,12,4,"Gurgaon, Haryana, India"
71,12,5,"DogSpot is an online community for dog owners to interact and buy pets, supplies, and merchandise."
72,12,6,"17,380"
73,13,1,13
74,13,2,GovDelivery
75,13,3,"Dietary Supplements, Email, Enterprise Software, GovTech, SaaS"
76,13,4,"Saint Paul, Minnesota, United States"
77,13,5,GovDelivery enables public sector organizations to connect with more people and to get those people to take action.
78,13,6,"18,985"
79,14,1,14
80,14,2,ISOThrive
81,14,3,"Dietary Supplements, Health Care, Nutrition"
82,14,4,"Healdsburg, California, United States"
83,14,5,ISOThrive is a nutritional supplement specifically designed to feed the microbiome to enable optimum human health.
84,14,6,"21,106"
85,15,1,15
86,15,2,Gainful
87,15,3,"Dietary Supplements, Fitness, Personal Health"
88,15,4,"Newbury Park, California, United States"
89,15,5,Gainful makes personalized protein shakes.
90,15,6,"21,806"
91,16,1,16
92,16,2,Eli Nutrition
93,16,3,"Dietary Supplements, Health Care"
94,16,4,"New Haven, Connecticut, United States"
95,16,5,"Eli Nutrition, Inc. develops an antacid called Tummyzen, which is a zinc-based over-the-counter acid reducer. The company was incorporated"
96,16,6,"24,160"
97,17,1,17
98,17,2,Candidlab
99,17,3,"Dietary Supplements, Fitness, Life Science, Personal Health"
100,17,4,"Copenhagen, Hovedstaden, Denmark"
101,17,5,Our vision is to increase transparency in the supplement industry. Candidlab creates evidence-based algorithms and supplement rankings.
102,17,6,"25,221"
103,18,1,18
104,18,2,Solix Algredients
