row,1,2,3,4,5,6
1,1,The Honest Company,"Dietary Supplements, E-Commerce, Lifestyle","Santa Monica, California, United States","The Honest Company creates effective, safe, eco-friendly, beautiful, convenient, and affordable products for babies and homes.","1,046"
2,2,Ancient Nutrition,"Dietary Supplements, Nutrition, Personal Health","North Palm Beach, Florida, United States","Our mission is to restore our health, strength and vitality by providing history’s healthiest whole food nutrients to the modern world.","1,904"
3,3,HVMN,"Dietary Supplements, E-Commerce, Nutrition","San Francisco, California, United States",Nootrobox is an e-commerce startup offering nootropics or cognitive supplements.,"4,077"
4,4,Bulletproof,"Consumer Goods, Dietary Supplements, Food and Beverage, Hospitality","Bellevue, Washington, United States","Bulletproof offers products to help people to reach a state of high performance and achieve their full protential, mentally and physically.","4,176"
5,5,Vitagene,"Data Mining, Dietary Supplements, Health Care, Machine Learning, Personal Health, Personalization, Wellness","San Francisco, California, United States",The world's First and Only Personalization Platform for Health and Wellness Products and Services Tailored to Your DNA and Lifestyle.,"6,991"
6,6,PanTheryx,"Dietary Supplements, Medical, Nutrition, Pharmaceutical","Boulder, Colorado, United States","PanTheryx is focused on the research, development, and commercialization of products that promote intestinal health.","10,199"
7,7,True Elements,"Dietary Supplements, Food and Beverage, Health Care, Organic Food, Snack Food","Pune, Maharashtra, India",True elements offers a range of high-quality snacks and supplements that are inspired by natural foods consumed by our ancestors.,"10,419"
8,8,Simris Alg,"Agriculture, Biotechnology, Consumer Goods, Dietary Supplements, FMCG, Lifestyle, Nutrition, Organic Food, Sustainability","Hammenhög, Skane Lan, Sweden",Simris Alg is a company providing products from farmed algae.,"10,915"
9,9,ChromaDex,"Biotechnology, Chemical, Consulting, Dietary Supplements","Irvine, California, United States","ChromaDex is a natural products company that discovers, acquires, develops and commercializes proprietary-based ingredient technologies.","12,294"
10,10,The Nue Co.,"Dietary Supplements, Food and Beverage, Organic Food","New York, New York, United States",The Nue Co. deliver supplements made from foods.,"14,184"
11,11,Cara,"Alternative Medicine, Dietary Supplements, Health Care, Health Diagnostics, Medical","Berlin, Berlin, Germany",Cara by HiDoc Technologies is an pharmaceutical company that empowers patients suffering from chronic digestive diseases.,"14,490"
12,12,DogSpot,"Dietary Supplements, Internet of Things, Online Forums","Gurgaon, Haryana, India","DogSpot is an online community for dog owners to interact and buy pets, supplies, and merchandise.","17,380"
13,13,GovDelivery,"Dietary Supplements, Email, Enterprise Software, GovTech, SaaS","Saint Paul, Minnesota, United States",GovDelivery enables public sector organizations to connect with more people and to get those people to take action.,"18,985"
14,14,ISOThrive,"Dietary Supplements, Health Care, Nutrition","Healdsburg, California, United States",ISOThrive is a nutritional supplement specifically designed to feed the microbiome to enable optimum human health.,"21,106"
15,15,Gainful,"Dietary Supplements, Fitness, Personal Health","Newbury Park, California, United States",Gainful makes personalized protein shakes.,"21,806"
16,16,Eli Nutrition,"Dietary Supplements, Health Care","New Haven, Connecticut, United States","Eli Nutrition, Inc. develops an antacid called Tummyzen, which is a zinc-based over-the-counter acid reducer. The company was incorporated","24,160"
17,17,Candidlab,"Dietary Supplements, Fitness, Life Science, Personal Health","Copenhagen, Hovedstaden, Denmark",Our vision is to increase transparency in the supplement industry. Candidlab creates evidence-based algorithms and supplement rankings.,"25,221"
18,18,Solix Algredients,"B2B, Dietary Supplements, Nutraceutical","Fort Collins, Colorado, United States","Solix Algredients is a B2B supplier of algae-based, natural ingredients that benefit health-conscious consumers","25,841"
19,19,Zenamins,"Dietary Supplements, Medical, Wellness","San Francisco, California, United States",zenamins is a subscription service that home delivers a monthly box of preferred vitamins to its subscribers.,"28,800"
20,20,Güdpod,"Dietary Supplements, Health Care, Internet of Things, Nutrition","New York, New York, United States",Internet connected appliance like a keurig/nespresso for simplifying the consumption and management of nutritional supplemention,"30,567"
21,21,Tewarie Enterprises,"Dietary Supplements, Fitness, Health Care, Personal Health, Retail Technology","Boston, Massachusetts, United States",Investment fund for high-growth startups within retail distribution.,"30,624"
22,22,MSI Methylation Sciences,"Biotechnology, Dietary Supplements, Medical, Therapeutics","Burnaby, British Columbia, Canada","MSI Methylation Sciences is a biotechnology company that develops and markets S-Adenosyl Methionine, a dietary supplement.","31,281"
23,23,LAFASO,"Dietary Supplements, E-Commerce, Shopping, Women's","Beijing, Beijing, China",Lefeng is a Chinese large-scale online shopping website that provides solutions related to female fashion.,"31,672"
24,24,Avantha,"Dietary Supplements, Manufacturing, Printing","New Delhi, Delhi, India","Avantha is engaged in the production of writing and printing papers, management of electrical energy and electrical products, and more.","33,492"
25,25,AddSearch,"Dietary Supplements, Search Engine","Helsinki, Southern Finland, Finland",Prevention Pharmaceuticals is a consumer health marketing frim focused on non-prescription dietary supplements and nutraceutical products.,"33,868"
26,26,Isagenix International,"Dietary Supplements, Multi-level Marketing, Nutrition","Gilbert, Arizona, United States",Isagenix International LLC is a multilevel marketing company that markets dietary supplements and personal care products.,"34,207"
27,27,AdEx Media,"Advertising, Dietary Supplements","Mountain View, California, United States","Adex Media provides internet marketing, display marketing, lead generation, and affiliate marketing services.","35,612"
28,28,Xymogen,"Dietary Supplements, Health Care","Orlando, Florida, United States","XYMOGEN manufactures dietary supplements and functional foods, distributing them through healthcare practitioners.","36,733"
29,29,Quincy Bioscience,"Biotechnology, Dietary Supplements, Personal Health","Madison, Wisconsin, United States","Quincy Bioscience is a biotechnology company based in Madison, Wisconsin focused on the discovery, development and commercialization of","39,315"
30,30,Life Equals,"Dietary Supplements, Food and Beverage","Lenexa, Kansas, United States",Creators of Balance the Superfood Shot. Our delicious superfood shot delivers 1/2 your daily organic superfoods in a convenient 2oz shot.,"39,437"
31,31,EyePromise,"Dietary Supplements, Health Care, Manufacturing","Chesterfield, Missouri, United States",EyePromise manufactures and sells zeaxanthin dietary supplements for those at risk of age-related vision loss.,"41,575"
32,32,Novalact,"Biotechnology, Dietary Supplements, Health Diagnostics","Santiago, Region Metropolitana, Chile",Probiotic based solutions for a changing world,"42,220"
33,33,Procera,"Dietary Supplements, Fitness, Health Care, Innovation Management, Pharmaceutical","Tampa, Florida, United States","Procera is a cognitive health brand, developing and innovating around a line of products designed to support brain health.","42,253"
34,34,Aminolabs,"Dietary Supplements, Health Care, Nutrition","Hasselt, Limburg, Belgium",Aminolabs is the preferred supplier of many internationally renowned companies in health and sports nutrition.,"42,730"
35,35,Prana Essentials,"Dietary Supplements, Fitness, Health Care","Petah Tiqva, HaMerkaz, Israel",A personalized and condition based nutritional supplements market.,"43,188"
36,36,Snap Infusion,"Dietary Supplements, Energy","Andover, Massachusetts, United States","SUPERCANDY® is a natural energy snack packed b-vitamins, antioxidants and electrolytes.","43,596"
37,37,BioActor,"Biotechnology, Dietary Supplements","Maastricht, Limburg, The Netherlands","BioActor develops proprietary health ingredients for use in functional foods, medical nutrition, and dietary supplements.","44,590"
38,38,PureBrands,"Biotechnology, Dietary Supplements","Boca Raton, Florida, United States",PureBrands manufactures transdermal patches to deliver nutritional and dietary supplements to athletes.,"46,208"
39,39,LABOMAR,"Biotechnology, Dietary Supplements","Istrana, Veneto, Italy","LABOMAR produces dietary supplements, diet foods, health products and medical devices.","49,665"
40,40,Fluxome,"Biotechnology, Dietary Supplements, Natural Resources","Stenløse, Hovedstaden, Denmark",Fluxome produces pure and natural resveratrol with ingredients that give beneficial effects to human health.,"50,150"
41,41,Health Elements,"Dietary Supplements, Health Care","Sandpoint, Idaho, United States",Health Elements provides web-based solutions to support medical practices and their patients with integrative medical information.,"50,313"
42,42,"Michelle's Miracle, Inc","Dietary Supplements, Fruit, Health Care, Retail, Wholesale","Traverse City, Michigan, United States",Cherry Works is a brand of nutritional supplements based on a backbone of Montmorency Tart Cherry Concentrate.,"50,742"
43,43,Glanbia,"Dietary Supplements, Nutrition","Kilkenny, Kilkenny, Ireland","Glanbia has evolved to become a leading global performance nutrition and ingredients group employing more than 5,000 people.","50,810"
44,44,Umii Products,"Dietary Supplements, Enterprise Software","Las Vegas, Nevada, United States","Umii Products develops a line of products in the health, fitness, and wellness fields.","51,856"
45,45,Total Fitness and Nutrition,"Dietary Supplements, Fitness, Nutrition, Personal Health","Vancouver, British Columbia, Canada",Total Fitness and Nutrition offers on-demand training and nutrition plans put together by global fitness professionals.,"52,403"
46,46,Botanic Innovations,"Biotechnology, Dietary Supplements","Spooner, Wisconsin, United States","Botanic Innovations produces oils, nutri powders and other derivatives from non-GMO fruits, vegetables, grains and herb seeds.","52,726"
47,47,"Dynova Laboratories,Inc.","Dietary Supplements, Health Care, Medical","Parsippany, New Jersey, United States","Dynova Laboratories, LLC is a nutraceutical company focused on acquiring and developing natural supplements/OTC products.","52,912"
48,48,Bodshaperz,"Dietary Supplements, Health Care, Nutrition","Los Angeles, California, United States",Convenient Nutritional Supplement Subscription Box,"59,916"
49,49,Foodoit,"Dietary Supplements, Health Care","Reykjavík, Gullbringusysla, Iceland","Foodoit, improve the health of individuals who are at risk or deal with problems caused by an unhealthy diet with a web-platform","62,424"
50,50,Xyngular,"Dietary Supplements, Direct Sales, Wellness","Lehi, Utah, United States",Xyngular is a network marketing company with a primary focus on weight loss supplements.,"63,339"
